"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-05-30","0.00","0.0","0.0","69","80","60"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-05-31","0.00","0.0","0.0","69","84","56"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-06-01","0.00","0.0","0.0","71","85","57"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-06-02","0.00","0.0","0.0","71","87","58"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-06-03","0.00","0.0","0.0","77","92","63"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-06-04","0.00","0.0","0.0","82","97","67"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-06-05","0.00","0.0","0.0","81","89","68"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-06-06","0.00","0.0","0.0","71","80","62"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-06-07","0.00","0.0","0.0","70","75","63"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-06-08","0.00","0.0","0.0","72","84","63"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-06-09","0.00","0.0","0.0","74","87","61"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-06-10","0.00","0.0","0.0","73","84","62"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-06-11","0.00","0.0","0.0","72","86","63"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-06-12","0.00","0.0","0.0","72","84","61"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-06-13","0.00","0.0","0.0","75","88","62"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-06-14","0.00","0.0","0.0","78","92","66"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-06-15","0.00","0.0","0.0","80","92","67"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-06-16","0.00","0.0","0.0","80","93","67"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-06-17","0.00","0.0","0.0","82","98","69"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-06-18","0.00","0.0","0.0","82","92","68"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-06-19","0.00","0.0","0.0","71","79","57"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-06-20","0.00","0.0","0.0","68","81","55"
